Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Freeway,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
Boxing,2600,1980.0,Fighting,Activision,0.72,0.04,0.0,0.01,0.77
Kaboom!,2600,1980.0,Misc,Activision,1.07,0.07,0.0,0.01,1.15
Defender,2600,1980.0,Misc,Atari,0.99,0.05,0.0,0.01,1.05
Bridge,2600,1980.0,Misc,Activision,0.25,0.02,0.0,0.0,0.27
Checkers,2600,1980.0,Misc,Atari,0.22,0.01,0.0,0.0,0.24
Asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
Missile Command,2600,1980.0,Shooter,Atari,2.56,0.17,0.0,0.03,2.76
Ice Hockey,2600,1980.0,Sports,Activision,0.46,0.03,0.0,0.01,0.49
Frogger,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2
E.T.: The Extra Terrestrial,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97
Spider-Man,2600,1981.0,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
Custer's Revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82
Alien,2600,1981.0,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
Air Raid,2600,1981.0,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
King Kong,2600,1981.0,Action,Tigervision,0.65,0.04,0.0,0.01,0.69
Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
Smurf: Rescue In Gargamel's Castle,2600,1981.0,Action,Coleco,0.55,0.03,0.0,0.01,0.59
Raiders of the Lost Ark,2600,1981.0,Action,Atari,0.46,0.03,0.0,0.01,0.5
Jawbreaker,2600,1981.0,Action,Tigervision,0.42,0.03,0.0,0.0,0.45
Barnstorming,2600,1981.0,Action,Activision,0.4,0.02,0.0,0.0,0.43
Mouse Trap,2600,1981.0,Action,Coleco,0.38,0.02,0.0,0.0,0.4
Laser Blast,2600,1981.0,Action,Activision,0.37,0.02,0.0,0.0,0.39
Airlock,2600,1981.0,Action,Data Age,0.36,0.02,0.0,0.0,0.39
Dragonfire,2600,1981.0,Action,Imagic,0.35,0.02,0.0,0.0,0.37
Frogs And Flies,2600,1981.0,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
Fantastic Voyage,2600,1981.0,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
Fireball,2600,1981.0,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33
Astroblast,2600,1981.0,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31
